StartArea,avgDist,avgDur
ALBANY PARK,3575.602465331,17.373728814
ARCHER HEIGHTS,2932.773297187,21.737422343
ARMOUR SQUARE,3112.432070417,24.574001786
ASHBURN,3876.586333578,24.98689689
AUBURN GRESHAM,3716.488599929,29.935556941
AUSTIN,3650.533664655,24.992945608
AVALON PARK,2732.218425869,22.902186292
AVONDALE,2977.989477201,14.461742108
BELMONT CRAGIN,3001.707806962,17.175811142
BEVERLY,4002.505108557,20.462026394
BRIDGEPORT,3536.076923077,18.735807611
BRIGHTON PARK,2516.685397217,18.193347425
BURNSIDE,3886.884353741,25.636961451
CALUMET HEIGHTS,3574.793729373,27.315795746
CHATHAM,3296.779060933,24.135366966
CHICAGO LAWN,3230.624591236,23.829226619
CLEARING,2696.291411043,19.708793456
DOUGLAS,2870.892595606,21.618958503
DUNNING,3427.168922072,20.435028776
EAST GARFIELD PARK,4530.326548937,29.409802454
EAST SIDE,4569.64379085,29.369153958
EDGEWATER,2837.368609126,13.414636018
EDISON PARK,2014.741935484,12.816129032
ENGLEWOOD,3555.023075055,29.69828354
FOREST GLEN,3723.051136364,19.309659091
FULLER PARK,3321.698666667,18.557333333
GAGE PARK,2812.511664318,21.091636658
GARFIELD RIDGE,3408.177108434,20.823293173
GRAND BOULEVARD,3774.320927395,24.297701851
GREATER GRAND CROSSING,3692.662974684,26.029970992
HEGEWISCH,3840.227272727,19.21947601
HERMOSA,3037.667165519,15.993864113
HUMBOLDT PARK,3476.775134212,20.765625508
HYDE PARK,2617.222446058,16.738794642
IRVING PARK,3236.034854015,16.198753041
JEFFERSON PARK,4055.136150235,17.2021518
KENWOOD,3033.526315789,18.795569179
LAKE VIEW,2423.117641728,11.580403954
LINCOLN PARK,2581.170634675,13.158684588
LINCOLN SQUARE,3162.990290179,14.052561384
LOGAN SQUARE,2856.422619251,13.254013093
LOOP,3610.189873418,35.952109705
LOWER WEST SIDE,3049.868535708,16.03737766
MCKINLEY PARK,3044.029843444,19.243978311
MONTCLARE,2793.888021849,19.521127585
MORGAN PARK,4577.447368421,30.351608187
MOUNT GREENWOOD,3986.976313842,15.586084382
NEAR NORTH SIDE,2951.844565064,15.607990272
NEAR SOUTH SIDE,2794.292570551,22.214254175
NEAR WEST SIDE,2866.688683857,15.386121634
NEW CITY,2963.762037198,26.299745061
NORTH CENTER,2982.696342092,13.32466598
NORTH LAWNDALE,5552.04315811,32.23334356
NORTH PARK,3662.693686007,20.570278726
NORWOOD PARK,2932.459143969,17.243514916
OAKLAND,2886.004942339,22.478226249
OHARE,1953.230769231,22.825641026
PORTAGE PARK,3413.93453566,17.724600851
PULLMAN,5031.795488722,31.059661654
RIVERDALE,6388.621359223,46.07961165
ROGERS PARK,2753.514527982,16.219568494
ROSELAND,3976.015870419,32.211090205
SOUTH CHICAGO,3207.867684478,27.543638677
SOUTH DEERING,3617.080265096,28.426583211
SOUTH LAWNDALE,2437.858473308,16.422041133
SOUTH SHORE,3154.034095908,25.038788679
UPTOWN,2842.391162323,13.043153971
WASHINGTON HEIGHTS,3861.382611637,33.4069576
WASHINGTON PARK,3442.201344332,24.273826255
WEST ELSDON,2999.513286713,20.870960373
WEST ENGLEWOOD,3567.908077994,33.278729496
WEST GARFIELD PARK,3951.337202875,32.48949696
WEST LAWN,3712.111005241,22.882777513
WEST PULLMAN,3858.907072987,33.599542262
WEST RIDGE,3226.632889652,18.978760555
WEST TOWN,2619.877998339,13.322175903
WOODLAWN,3558.788289676,22.358777607
