StartArea,numberOfTrip
LAKE VIEW,99310
LINCOLN PARK,80687
WEST TOWN,61409
NEAR WEST SIDE,32732
LOGAN SQUARE,29329
NEAR NORTH SIDE,28372
UPTOWN,27858
HYDE PARK,18863
EDGEWATER,14552
BELMONT CRAGIN,11003
NORTH CENTER,9705
LINCOLN SQUARE,8960
ROGERS PARK,8845
PORTAGE PARK,8539
AUSTIN,8451
HUMBOLDT PARK,8196
CHATHAM,6581
GAGE PARK,6387
CHICAGO LAWN,6116
ROSELAND,6112
SOUTH LAWNDALE,6013
AVONDALE,5987
NEW CITY,5753
BRIGHTON PARK,5677
AUBURN GRESHAM,5614
IRVING PARK,5480
LOWER WEST SIDE,5279
NEAR SOUTH SIDE,5209
NORTH LAWNDALE,4889
SOUTH SHORE,4546
WEST ENGLEWOOD,4308
WEST LAWN,4198
ENGLEWOOD,4117
MCKINLEY PARK,4088
GREATER GRAND CROSSING,3792
WEST ELSDON,3575
SOUTH CHICAGO,3537
KENWOOD,3344
EAST GARFIELD PARK,3341
HERMOSA,3341
GRAND BOULEVARD,3278
WASHINGTON PARK,3273
WOODLAWN,3245
WASHINGTON HEIGHTS,2956
ARCHER HEIGHTS,2951
WEST PULLMAN,2658
ARMOUR SQUARE,2613
ALBANY PARK,2596
MONTCLARE,2563
DOUGLAS,2458
WEST RIDGE,2329
DUNNING,2143
BRIDGEPORT,2041
CALUMET HEIGHTS,1818
WEST GARFIELD PARK,1809
AVALON PARK,1639
BEVERLY,1566
MORGAN PARK,1368
ASHBURN,1361
SOUTH DEERING,1358
MOUNT GREENWOOD,1351
PULLMAN,1330
NORTH PARK,1172
EAST SIDE,918
GARFIELD RIDGE,830
OAKLAND,607
HEGEWISCH,528
JEFFERSON PARK,426
RIVERDALE,412
FULLER PARK,375
CLEARING,326
NORWOOD PARK,257
FOREST GLEN,176
LOOP,158
BURNSIDE,147
EDISON PARK,31
OHARE,13
