StartTime,NumberOfTrips
08/12/2020 08:00:00 PM,499
08/13/2020 01:00:00 PM,272
08/13/2020 02:00:00 PM,337
08/13/2020 03:00:00 PM,346
08/13/2020 04:00:00 PM,394
08/13/2020 06:00:00 PM,608
08/13/2020 07:00:00 PM,709
08/13/2020 08:00:00 PM,582
08/14/2020 05:00:00 AM,26
08/14/2020 10:00:00 AM,202
08/14/2020 03:00:00 PM,473
08/14/2020 04:00:00 PM,501
08/14/2020 05:00:00 PM,655
08/14/2020 08:00:00 PM,651
08/15/2020 09:00:00 AM,168
08/15/2020 11:00:00 AM,336
08/15/2020 12:00:00 PM,459
08/15/2020 02:00:00 PM,646
08/15/2020 03:00:00 PM,658
08/15/2020 04:00:00 PM,729
08/15/2020 05:00:00 PM,722
08/15/2020 06:00:00 PM,447
08/15/2020 07:00:00 PM,656
08/16/2020 10:00:00 AM,228
08/16/2020 02:00:00 PM,617
08/16/2020 04:00:00 PM,751
08/16/2020 05:00:00 PM,762
08/16/2020 06:00:00 PM,714
08/17/2020 04:00:00 PM,451
08/17/2020 05:00:00 PM,575
08/17/2020 07:00:00 PM,707
08/17/2020 08:00:00 PM,538
08/18/2020 10:00:00 AM,160
08/18/2020 11:00:00 AM,189
08/18/2020 12:00:00 PM,336
08/18/2020 01:00:00 PM,353
08/18/2020 02:00:00 PM,438
08/18/2020 03:00:00 PM,504
08/18/2020 06:00:00 PM,736
08/18/2020 07:00:00 PM,741
08/18/2020 09:00:00 PM,408
08/19/2020 05:00:00 AM,27
08/19/2020 10:00:00 AM,217
08/19/2020 11:00:00 AM,283
08/19/2020 01:00:00 PM,353
08/19/2020 02:00:00 PM,445
08/19/2020 03:00:00 PM,491
08/19/2020 04:00:00 PM,584
08/19/2020 05:00:00 PM,724
08/19/2020 08:00:00 PM,390
08/20/2020 02:00:00 PM,270
08/20/2020 04:00:00 PM,302
08/20/2020 05:00:00 PM,472
08/20/2020 06:00:00 PM,584
08/20/2020 07:00:00 PM,725
08/20/2020 08:00:00 PM,624
08/20/2020 09:00:00 PM,484
08/21/2020 09:00:00 AM,180
08/21/2020 12:00:00 PM,396
08/21/2020 02:00:00 PM,459
08/21/2020 03:00:00 PM,545
08/21/2020 04:00:00 PM,666
08/21/2020 05:00:00 PM,895
08/21/2020 06:00:00 PM,933
08/21/2020 07:00:00 PM,931
08/21/2020 08:00:00 PM,829
08/22/2020 08:00:00 AM,169
08/22/2020 09:00:00 AM,254
08/22/2020 11:00:00 AM,510
08/22/2020 12:00:00 PM,631
08/22/2020 03:00:00 PM,951
08/22/2020 05:00:00 PM,1073
08/22/2020 06:00:00 PM,1216
08/22/2020 07:00:00 PM,1128
08/23/2020 12:00:00 PM,702
08/23/2020 01:00:00 PM,866
08/23/2020 02:00:00 PM,814
08/23/2020 03:00:00 PM,820
08/23/2020 05:00:00 PM,849
08/23/2020 08:00:00 PM,459
08/24/2020 01:00:00 PM,419
08/24/2020 02:00:00 PM,419
08/24/2020 04:00:00 PM,547
08/24/2020 07:00:00 PM,720
08/24/2020 08:00:00 PM,575
08/24/2020 09:00:00 PM,453
08/25/2020 06:00:00 AM,55
08/25/2020 09:00:00 AM,181
08/25/2020 01:00:00 PM,382
08/25/2020 02:00:00 PM,447
08/25/2020 04:00:00 PM,600
08/25/2020 05:00:00 PM,703
08/25/2020 07:00:00 PM,883
08/25/2020 08:00:00 PM,701
08/25/2020 09:00:00 PM,511
08/26/2020 11:00:00 AM,326
08/26/2020 12:00:00 PM,460
08/26/2020 01:00:00 PM,419
08/26/2020 02:00:00 PM,505
08/26/2020 03:00:00 PM,450
08/26/2020 04:00:00 PM,622
08/26/2020 05:00:00 PM,855
08/26/2020 07:00:00 PM,1040
08/26/2020 08:00:00 PM,716
08/26/2020 09:00:00 PM,656
08/27/2020 09:00:00 AM,201
08/27/2020 10:00:00 AM,269
08/27/2020 11:00:00 AM,349
08/27/2020 02:00:00 PM,481
08/27/2020 03:00:00 PM,470
08/27/2020 04:00:00 PM,593
08/27/2020 06:00:00 PM,802
08/27/2020 07:00:00 PM,913
08/27/2020 09:00:00 PM,670
08/28/2020 08:00:00 AM,207
08/28/2020 09:00:00 AM,219
08/28/2020 01:00:00 PM,540
08/28/2020 03:00:00 PM,636
08/28/2020 04:00:00 PM,787
08/28/2020 05:00:00 PM,860
08/28/2020 06:00:00 PM,1099
08/28/2020 07:00:00 PM,1115
08/29/2020 06:00:00 AM,58
08/29/2020 09:00:00 AM,298
08/29/2020 12:00:00 PM,732
08/29/2020 01:00:00 PM,807
08/29/2020 02:00:00 PM,939
08/29/2020 03:00:00 PM,1110
08/29/2020 04:00:00 PM,1131
08/29/2020 05:00:00 PM,1256
08/29/2020 07:00:00 PM,1424
08/29/2020 08:00:00 PM,986
08/29/2020 09:00:00 PM,917
08/30/2020 10:00:00 AM,449
08/30/2020 11:00:00 AM,671
08/30/2020 12:00:00 PM,802
08/30/2020 01:00:00 PM,871
08/30/2020 02:00:00 PM,1005
08/30/2020 03:00:00 PM,1176
08/30/2020 04:00:00 PM,1150
08/30/2020 05:00:00 PM,1151
08/30/2020 06:00:00 PM,1286
08/30/2020 07:00:00 PM,1067
08/30/2020 08:00:00 PM,822
08/31/2020 09:00:00 AM,190
08/31/2020 10:00:00 AM,258
08/31/2020 11:00:00 AM,362
08/31/2020 12:00:00 PM,409
08/31/2020 01:00:00 PM,461
08/31/2020 02:00:00 PM,453
08/31/2020 03:00:00 PM,556
08/31/2020 04:00:00 PM,668
08/31/2020 05:00:00 PM,754
08/31/2020 06:00:00 PM,939
08/31/2020 07:00:00 PM,872
08/31/2020 08:00:00 PM,620
08/31/2020 10:00:00 PM,16
09/01/2020 07:00:00 AM,138
09/01/2020 10:00:00 AM,246
09/01/2020 12:00:00 PM,391
09/01/2020 01:00:00 PM,199
09/01/2020 02:00:00 PM,116
09/01/2020 03:00:00 PM,239
09/01/2020 04:00:00 PM,367
09/01/2020 05:00:00 PM,404
09/01/2020 06:00:00 PM,413
09/01/2020 08:00:00 PM,435
09/02/2020 05:00:00 AM,41
09/02/2020 07:00:00 AM,121
09/02/2020 10:00:00 AM,243
