date,temp avg,precipitation,new snow,snow depth
2020-08-12,75,0,0,0
2020-08-13,78,0,0,0
2020-08-14,79,0,0,0
2020-08-15,80,0.25,0,0
2020-08-16,75,0,0,0
2020-08-17,77.5,0,0,0
2020-08-18,72,0,0,0
2020-08-19,73,0,0,0
2020-08-20,75,0,0,0
2020-08-21,77.5,0,0,0
2020-08-22,78,0,0,0
2020-08-23,81,0,0,0
2020-08-24,84.5,0,0,0
2020-08-25,81.5,0.03,0,0
2020-08-26,85,0,0,0
2020-08-27,86.5,0,0,0
2020-08-28,86,0,0,0
2020-08-29,74,0,0,0
2020-08-30,69.5,0,0,0
2020-08-31,75.5,0,0,0
2020-09-01,72,0.19,0,0
2020-09-02,78.5,0.05,0,0
2020-09-03,76.5,0,0,0
2020-09-04,68,0,0,0
2020-09-05,73,0,0,0
2020-09-06,71,0.6,0,0
2020-09-07,71,0.23,0,0
2020-09-08,62.5,0.64,0,0
2020-09-09,60.5,0.56,0,0
2020-09-10,61.5,0.18,0,0
2020-09-11,64.5,0.06,0,0
2020-09-12,68,0.25,0,0
2020-09-13,69,0.02,0,0
2020-09-14,67.5,0,0,0
2020-09-15,69.5,0,0,0
2020-09-16,73.5,0,0,0
2020-09-17,63.5,0,0,0
2020-09-18,55,0,0,0
2020-09-19,56.5,0,0,0
2020-09-20,60.5,0,0,0
2020-09-21,64,0,0,0
2020-09-22,66.5,0,0,0
2020-09-23,69,0,0,0
2020-09-24,68.5,0,0,0
2020-09-25,70.5,0,0,0
2020-09-26,71.5,0,0,0
2020-09-27,66,0.19,0,0
2020-09-28,57,0.21,0,0
2020-09-29,53,0,0,0
2020-09-30,59.5,0,0,0
2020-10-01,53,0.21,0,0
2020-10-02,48.5,0,0,0
2020-10-03,51,0.11,0,0
2020-10-04,48.5,0,0,0
2020-10-05,50.5,0,0,0
2020-10-06,63.5,0,0,0
2020-10-07,64.5,0,0,0
2020-10-08,60,0,0,0
2020-10-09,67,0,0,0
2020-10-10,67,0,0,0
2020-10-11,62.5,0,0,0
2020-10-12,58.5,0.11,0,0
2020-10-13,59.5,0,0,0
2020-10-14,63,0,0,0
2020-10-15,52.5,0,0,0
2020-10-16,45,0.01,0,0
2020-10-17,51,0,0,0
2020-10-18,50,0.18,0,0
2020-10-19,44,0.05,0,0
2020-10-20,45.5,0.19,0,0
2020-10-21,53,0.38,0,0
2020-10-22,62.5,1.67,0,0
2020-10-23,55,0.65,0,0
2020-10-24,41.5,0,0,0
2020-10-25,43,0,0,0
2020-10-26,36.5,0.06,0,0
2020-10-27,35.5,0.03,0,0
2020-10-28,41,0,0,0
2020-10-29,42,0,0,0
2020-10-30,37.5,0,0,0
2020-10-31,44.5,0,0,0
2020-11-01,42.5,0,0,0
2020-11-02,39.5,0,0,0
2020-11-03,54,0,0,0
2020-11-04,63,0,0,0
2020-11-05,63,0,0,0
2020-11-06,62.5,0,0,0
2020-11-07,63,0,0,0
2020-11-08,64,0,0,0
2020-11-09,69.5,0,0,0
2020-11-10,58.5,0.32,0,0
2020-11-11,40,0,0,0
2020-11-12,44.5,0.02,0,0
2020-11-13,38,0,0,0
2020-11-14,40,0.26,0,0
2020-11-15,44.5,0.07,0,0
2020-11-16,39.5,0,0,0
2020-11-17,35.5,0,0,0
2020-11-18,42.5,0,0,0
2020-11-19,57,0,0,0
2020-11-20,52,0,0,0
2020-11-21,42,0,0,0
2020-11-22,44,0,0,0
2020-11-23,39.5,0,0,0
2020-11-24,39,0.58,0.7,0
2020-11-25,45.5,0.47,0,0
2020-11-26,43.5,0,0,0
2020-11-27,39,0,0,0
2020-11-28,39.5,0,0,0
2020-11-29,43,0,0,0
2020-11-30,33,0,0,0
2020-12-01,30,0,0,0
2020-12-02,36.5,0,0,0
2020-12-03,37,0,0,0
2020-12-04,38,0,0,0
2020-12-05,35,0,0,0
2020-12-06,35.5,0,0,0
2020-12-07,35.5,0,0,0
2020-12-08,34.5,0,0,0
2020-12-09,42.5,0,0,0
2020-12-10,44,0,0,0
2020-12-11,40,0.82,0,0
2020-12-12,36,0.85,0,0
